Time,RemainingEnergy
0.00029,99.9998
0.000294084,99.9998
0.000294089,99.9998
0.000294093,99.9998
0.000294149,99.9998
0.000294152,99.9998
0.000294171,99.9998
0.000294185,99.9998
0.000294216,99.9998
0.00029423,99.9998
0.000294235,99.9998
0.000294261,99.9998
0.000294279,99.9998
0.000294281,99.9998
0.000294282,99.9998
0.000294286,99.9998
0.000294287,99.9998
0.000294291,99.9998
0.000294294,99.9998
0.000294311,99.9998
0.000294324,99.9998
0.000294329,99.9998
0.000294331,99.9998
0.000294342,99.9998
0.000294365,99.9998
0.000482084,99.9996
0.000482089,99.9996
0.000482093,99.9996
0.000482149,99.9996
0.000482152,99.9996
0.000482171,99.9996
0.000482185,99.9996
0.000482216,99.9996
0.00048223,99.9996
0.000482235,99.9996
0.000482261,99.9996
0.000482279,99.9996
0.000482281,99.9996
0.000482282,99.9996
0.000482286,99.9996
0.000482287,99.9996
0.000482291,99.9996
0.000482294,99.9996
0.000482311,99.9996
0.000482324,99.9996
0.000482329,99.9996
0.000482331,99.9996
0.000482342,99.9996
0.000482365,99.9996
0.00067,99.9995
0.000674088,99.9994
0.000674107,99.9994
0.00067417,99.9994
0.000862088,99.9993
0.000862107,99.9993
0.00086217,99.9993
0.00105,99.9991
0.00105,99.9991
0.00105406,99.9991
0.00105408,99.9991
0.00105413,99.9991
0.001186,99.9997
0.00118608,99.9996
0.00118609,99.9996
0.00118609,99.9996
0.00118615,99.9996
0.00118615,99.9996
0.00118617,99.9996
0.00118618,99.9996
0.00118622,99.9996
0.00118623,99.9996
0.00118623,99.9996
0.00118626,99.9996
0.00118628,99.9996
0.00118628,99.9996
0.00118628,99.9996
0.00118629,99.9996
0.00118629,99.9996
0.00118629,99.9996
0.00118629,99.9996
0.00118631,99.9996
0.00118632,99.9996
0.00118633,99.9996
0.00118633,99.9996
0.00118634,99.9996
0.00118636,99.9996
0.00124206,99.999
0.00124208,99.999
0.00124213,99.999
0.00125623,99.9995
0.00126029,99.9995
0.00126031,99.9995
0.00126033,99.9995
0.00129632,99.9995
0.00130039,99.9989
0.0013004,99.9989
0.00130047,99.9989
0.00144829,99.9994
0.00144831,99.9994
0.00144833,99.9994
0.00148839,99.9988
0.0014884,99.9988
0.00148847,99.9988
0.00153628,99.9993
0.00154032,99.9993
0.00154041,99.9987
0.001566,99.9994
0.00156609,99.9993
0.00156611,99.9993
0.00156617,99.9993
0.00172832,99.9991
0.00172841,99.9986
0.001946,99.9991
0.001946,99.9991
0.00194606,99.9989
0.00194608,99.9989
0.00194613,99.9989
0.00205,99.9989
0.00205409,99.9989
0.00215223,99.9995
0.00215229,99.9993
0.00215231,99.9993
0.00215233,99.9993
0.00219232,99.9994
0.00219239,99.9987
0.00219241,99.9987
0.00219247,99.9987
0.00224209,99.9987
0.00226247,99.9987
0.00226656,99.9987
0.00226659,99.9987
0.00226662,99.9981
0.00226662,99.9994
0.00226667,99.9987
0.00243228,99.9992
0.00243232,99.9991
0.00243241,99.9985
0.00245456,99.9985
0.00245459,99.9985
0.00245462,99.998
0.00245462,99.9992
0.00245467,99.9985
0.002946,99.9988
0.00294609,99.9987
0.00305,99.9975
0.00305,99.998
0.00305,99.998
0.00305405,99.998
0.00305406,99.998
0.00305408,99.998
0.00305408,99.9975
0.00305413,99.9986
0.00305413,99.9975
0.00305413,99.998
0.00305414,99.9975
0.00305415,99.9987
0.00305416,99.9975
0.00305417,99.9986
0.00305421,99.9975
0.00305422,99.998
0.00315847,99.9986
0.00315856,99.9985
0.00315859,99.9985
0.00315862,99.998
0.00315862,99.9992
0.00315867,99.9985
0.00322859,99.9984
0.00323266,99.9991
0.00323268,99.9984
0.00323268,99.9984
0.00323271,99.9986
0.00323279,99.9979
0.00324205,99.9979
0.00324206,99.9979
0.00324208,99.9979
0.00324209,99.9973
0.00324213,99.9984
0.00324213,99.9973
0.00324213,99.9979
0.00324215,99.9973
0.00324215,99.9986
0.00324216,99.9973
0.00324217,99.9984
0.00324221,99.9973
0.00324222,99.9979
0.00342066,99.999
0.00342068,99.9983
0.00342068,99.9983
0.00342071,99.9984
0.00342079,99.9977
0.003946,99.9975
0.003946,99.998
0.003946,99.998
0.00394605,99.9978
0.00394606,99.9978
0.00394608,99.9978
0.00394609,99.9973
0.00394613,99.9984
0.00394613,99.9973
0.00394613,99.9978
0.00394614,99.9973
0.00394615,99.9985
0.00394616,99.9973
0.00394617,99.9984
0.00394621,99.9973
0.00394622,99.9978
0.00405,99.9978
0.00405,99.9983
0.00405,99.9972
0.00405,99.9972
0.00405,99.9972
0.00405,99.9972
